CMDLINE python particle_weight.py
MEM 0.023438 1626202027.4806
MEM 12.406250 1626202027.5888
MEM 28.617188 1626202027.6943
MEM 33.644531 1626202027.8051
MEM 41.187500 1626202027.9111
MEM 50.339844 1626202028.0190
MEM 60.761719 1626202028.1276
MEM 74.308594 1626202028.2327
MEM 230.996094 1626202028.3410
MEM 397.175781 1626202028.4493
MEM 558.593750 1626202028.5573
MEM 722.332031 1626202028.6650
MEM 888.398438 1626202028.7736
MEM 1030.074219 1626202028.8820
MEM 1090.679688 1626202028.9907
MEM 1128.785156 1626202029.0953
MEM 1177.382812 1626202029.2024
MEM 1227.660156 1626202029.3069
MEM 1278.761719 1626202029.4154
MEM 1327.023438 1626202029.5211
MEM 1370.132812 1626202029.6290
MEM 1426.253906 1626202029.7373
MEM 1481.238281 1626202029.8425
MEM 1529.160156 1626202029.9502
MEM 1576.773438 1626202030.0586
MEM 1635.839844 1626202030.1662
MEM 1695.160156 1626202030.2745
MEM 1745.140625 1626202030.3805
MEM 1797.625000 1626202030.4891
MEM 1852.957031 1626202030.5956
MEM 1914.699219 1626202030.7034
MEM 1972.769531 1626202030.8124
MEM 2019.222656 1626202030.9214
MEM 2062.792969 1626202031.0314
MEM 2109.109375 1626202031.1373
MEM 2155.871094 1626202031.2428
MEM 2210.457031 1626202031.3491
MEM 2253.542969 1626202031.4589
MEM 2302.742188 1626202031.5636
MEM 2353.140625 1626202031.6723
MEM 2359.937500 1626202031.7809
MEM 2361.917969 1626202031.8891
MEM 2358.203125 1626202031.9957
MEM 2357.078125 1626202032.1004
MEM 2400.589844 1626202032.2095
MEM 2419.437500 1626202032.3177
MEM 2454.269531 1626202032.4264
MEM 2408.554688 1626202032.5313
MEM 2341.800781 1626202032.6377
MEM 2310.976562 1626202032.7432
MEM 2275.679688 1626202032.8524
MEM 2225.460938 1626202032.9609
MEM 2160.476562 1626202033.0687
MEM 2090.695312 1626202033.1789
MEM 2024.070312 1626202033.2847
MEM 1945.441406 1626202033.3958
MEM 1873.835938 1626202033.5011
MEM 1799.054688 1626202033.6069
MEM 1725.214844 1626202033.7122
MEM 1657.621094 1626202033.8180
MEM 1589.476562 1626202033.9248
MEM 1523.605469 1626202034.0313
MEM 1455.902344 1626202034.1370
MEM 1370.226562 1626202034.2441
MEM 1306.492188 1626202034.3513
MEM 1237.386719 1626202034.4630
MEM 1204.171875 1626202034.5698
MEM 1147.609375 1626202034.6761
MEM 1086.757812 1626202034.7817
MEM 1019.261719 1626202034.8894
MEM 999.582031 1626202034.9958
MEM 975.261719 1626202035.1045
MEM 957.828125 1626202035.2105
MEM 941.585938 1626202035.3182
MEM 967.863281 1626202035.4273
MEM 990.898438 1626202035.5341
MEM 953.742188 1626202035.6448
MEM 963.121094 1626202035.7493
MEM 942.582031 1626202035.8566
MEM 929.648438 1626202035.9624
MEM 875.113281 1626202036.0684
MEM 818.835938 1626202036.1775
MEM 777.910156 1626202036.2825
MEM 737.003906 1626202036.3900
MEM 696.386719 1626202036.4967
MEM 650.742188 1626202036.6070
MEM 622.902344 1626202036.7134
MEM 599.734375 1626202036.8219
